En_Id	En_Sentence	Pt_Id	Pt_Sentence
1265	There was a wonderful quote by Jonas Salk, who said, 'If all the insects were to disappear from the Earth, within 50 years all life on Earth would end.	999	Existe uma frase maravilhosa de Jonas Salk, que diz: 'Se todos os insetos desaparecessem da terra, dentro de 50 anos, toda vida na Terra desapareceria.Se todos os humanos desaparecessem da Terra, dentro de 50 anos todas as formas de vida floresceriam.'
1266	If all human beings disappeared from the Earth, within 50 years all forms of life would flourish.'		
1267	And he's right.	1000	Ele está certo.
1268	What TED celebrates is the gift of the human imagination.	1001	O que a TED celebra é a dádiva da imaginação humana.
1269	We have to be careful now that we use this gift wisely and that we avert some of the scenarios that we've talked about.	1002	Temos que ser cuidadosos e usar essa dádiva com sabedoria, de modo a evitar alguns dos cenários que falamos a respeito.
1270	And the only way we'll do it is by seeing our creative capacities for the richness they are and seeing our children for the hope that they are.	1003	E a única maneira de fazer isso é encarando nossa capacidade criativa pela riqueza que ela representa e nossas crianças pela esperança que elas representam.
1271	And our task is to educate their whole being, so they can face this future.	1004	Nossa tarefa é educá-las em sua totalidade, preparando-as para esse futuro.
1272	By the way -- we may not see this future, but they wisee this future, but they will.	1005	A propósito, talvez não vejamos esse futuro, mas elas verão.
1273	And our job is to help them make something of it.	1006	E o nosso trabalho é ajudá-las a tirar proveito dele.
1274	Thank you very much.	1007	Muito obrigado.
