En_Id	En_Sentence	Se_Id	Se_Sentence
1258	Somebody else might have put her on medication and told her to calm down.	2064	någonannan kanske hade givit henne medicin och sagt åt henne att lugna ner sig .
1259	What I think it comes to is this:	2065	nu , tror jag -- ( applåder ) vad jag tror det slutar med är detta : al gore talade härom kvällen om ekologi , och revolutionen som triggades av rachel carson .
1260	Al Gore spoke the other night about ecology and the revolution that was triggered by Rachel Carson.		
1261	I believe our only hope for the future is to adopt a new conception of human ecology, one in which we start to reconstitute our conception of the richness of human capacity.	2066	jag tror vårt enda hopp för framtiden är att ta in ett nytt koncept av humanekologi , där vi börjar med att ombilda vår uppfattning om människans rika kapacitet .
1262	Our education system has mined our minds in the way that we strip-mine the earth: for a particular commodity.	2067	våra utbildningssystem har styrt våra intellekt i den riktning så vi dagbryter jorden : för en speciell vara .
1263	And for the future, it won't serve us.	2068	och i framtiden kommer det inte tjäna oss .
1264	We have to rethink the fundamental principles on which we're educating our children.	2069	vi måste tänka om dom fundamentala principerna som vi utbildar våra barn i .
1265	There was a wonderful quote by Jonas Salk, who said, 'If all the insects were to disappear from the Earth, within 50 years all life on Earth would end.	2070	det finns ett fantastiskt citat från jonas salk som sa , ' om alla insekter skulle försvinna från jorden , skulle allt liv inom 50 år på jorden vara borta .
1266	If all human beings disappeared from the Earth, within 50 years all forms of life would flourish.'	2071	om alla människor skulle försvinna från jorden , inom 50 år skulle alla former av liv frodas .'
1267	And he's right.	2072	och han har rätt .
1268	What TED celebrates is the gift of the human imagination.	2073	vad ted firar är gåvan av den mänskliga fantasin .
1269	We have to be careful now that we use this gift wisely and that we avert some of the scenarios that we've talked about.	2074	vi måste vara försiktiga med hur vi använder den gåvan förståndigt , och vi måste förhindra några scenarion scenarion som vi har talat om .
1270	And the only way we'll do it is by seeing our creative capacities for the richness they are and seeing our children for the hope that they are.	2075	och det enda sättet vi kan göra detta på är genom att se vår kreativa förmåga så rik som den är , och se våra barn för det hopp de är .
1271	And our task is to educate their whole being, so they can face this future.	2076	och våran uppgift är att utbilda deras hela person , så att de kan möta denna framtid .
1272	By the way -- we may not see this future, but they wisee this future, but they will.	2077	föresten -- vi kanske inte möter denna framtid , med dom kommer göra det .
1273	And our job is to help them make something of it.	2078	och det är vårt jobb att hjälpa dem göra något av den .
1274	Thank you very much.	2079	tack så mycket .
